value,country_code,year,month,feature_id
1.5,PRY,2020,5,7
0.6,PSE,2020,5,7
13.0,QAT,2020,5,7
66.2,ROU,2020,5,7
32.2,RUS,2020,5,7
0.1,RWA,2020,5,7
14.2,SAU,2020,5,7
6.4,SDN,2020,5,7
2.4,SEN,2020,5,7
3.9,SGP,2020,5,7
5.6,SLE,2020,5,7
7.1,SLV,2020,5,7
1234.9,SMR,2020,5,7
4.8,SOM,2020,5,7
35.2,SRB,2020,5,7
0.9,SSD,2020,5,7
53.7,STP,2020,5,7
1.7,SUR,2020,5,7
5.1,SVK,2020,5,7
52.0,SVN,2020,5,7
432.6,SWE,2020,5,7
1.7,SWZ,2020,5,7
,SYC,2020,5,7
0.3,SYR,2020,5,7
3.8,TCD,2020,5,7
1.5,TGO,2020,5,7
0.8,THA,2020,5,7
4.8,TJK,2020,5,7
,TLS,2020,5,7
5.7,TTO,2020,5,7
4.0,TUN,2020,5,7
53.4,TUR,2020,5,7
0.3,TWN,2020,5,7
0.3,TZA,2020,5,7
,UGA,2020,5,7
16.3,UKR,2020,5,7
6.3,URY,2020,5,7
323.4,USA,2020,5,7
0.4,UZB,2020,5,7
,VAT,2020,5,7
,VCT,2020,5,7
0.5,VEN,2020,5,7
,VNM,2020,5,7
2.6,YEM,2020,5,7
11.4,ZAF,2020,5,7
0.4,ZMB,2020,5,7
0.3,ZWE,2020,5,7
18.6,AFG,2020,6,7
0.4,AGO,2020,6,7
21.6,ALB,2020,6,7
672.2,AND,2020,6,7
31.5,ARE,2020,6,7
28.7,ARG,2020,6,7
149.3,ARM,2020,6,7
30.4,ATG,2020,6,7
4.0,AUS,2020,6,7
78.0,AUT,2020,6,7
20.8,AZE,2020,6,7
0.1,BDI,2020,6,7
837.9,BEL,2020,6,7
1.7,BEN,2020,6,7
2.5,BFA,2020,6,7
11.1,BGD,2020,6,7
33.4,BGR,2020,6,7
49.8,BHR,2020,6,7
27.7,BHS,2020,6,7
57.0,BIH,2020,6,7
41.5,BLR,2020,6,7
4.9,BLZ,2020,6,7
94.9,BOL,2020,6,7
278.5,BRA,2020,6,7
24.3,BRB,2020,6,7
6.8,BRN,2020,6,7
,BTN,2020,6,7
0.4,BWA,2020,6,7
9.6,CAF,2020,6,7
230.6,CAN,2020,6,7
207.6,CHE,2020,6,7
296.1,CHL,2020,6,7
3.2,CHN,2020,6,7
2.5,CIV,2020,6,7
11.5,CMR,2020,6,7
1.8,COD,2020,6,7
6.5,COG,2020,6,7
65.0,COL,2020,6,7
7.9,COM,2020,6,7
26.7,CPV,2020,6,7
3.1,CRI,2020,6,7
7.6,CUB,2020,6,7
21.2,CYP,2020,6,7
32.5,CZE,2020,6,7
107.2,DEU,2020,6,7
53.9,DJI,2020,6,7
,DMA,2020,6,7
104.1,DNK,2020,6,7
68.2,DOM,2020,6,7
20.4,DZA,2020,6,7
253.1,ECU,2020,6,7
28.3,EGY,2020,6,7
,ERI,2020,6,7
606.6,ESP,2020,6,7
52.1,EST,2020,6,7
0.9,ETH,2020,6,7
59.1,FIN,2020,6,7
,FJI,2020,6,7
441.7,FRA,2020,6,7
18.4,GAB,2020,6,7
593.5,GBR,2020,6,7
3.8,GEO,2020,6,7
3.5,GHA,2020,6,7
2.4,GIN,2020,6,7
0.8,GMB,2020,6,7
11.9,GNB,2020,6,7
22.1,GNQ,2020,6,7
18.5,GRC,2020,6,7
,GRD,2020,6,7
42.4,GTM,2020,6,7
15.2,GUY,2020,6,7
0.9,HKG,2020,6,7
49.4,HND,2020,6,7
26.2,HRV,2020,6,7
9.0,HTI,2020,6,7
60.7,HUN,2020,6,7
10.4,IDN,2020,6,7
12.5,IND,2020,6,7
348.4,IRL,2020,6,7
127.2,IRN,2020,6,7
47.2,IRQ,2020,6,7
29.1,ISL,2020,6,7
37.2,ISR,2020,6,7
575.9,ITA,2020,6,7
3.4,JAM,2020,6,7
0.9,JOR,2020,6,7
7.7,JPN,2020,6,7
9.9,KAZ,2020,6,7
2.7,KEN,2020,6,7
9.2,KGZ,2020,6,7
,KHM,2020,6,7
,KNA,2020,6,7
5.5,KOR,2020,6,7
81.8,KWT,2020,6,7
,LAO,2020,6,7
5.0,LBN,2020,6,7
7.0,LBR,2020,6,7
3.4,LBY,2020,6,7
,LCA,2020,6,7
26.1,LIE,2020,6,7
0.5,LKA,2020,6,7
